id,outlet_name,restaurant_name
5c98ce6d6197d625d0ef17a7,Aura Cafe,Aura Cafe
5c98ce6e6197d625d0ef17fe,Bawarchi,Bawarchi
5c98ce6e6197d625d0ef182a,Onesta,Onesta
5c98ce6e6197d625d0ef1916,Shah Ghouse Hotel & Restaurant,Shah Ghouse Hotel & Restaurant
5c98ce6e6197d625d0ef1970,By The Bottle,By The Bottle
5c98ce6e6197d625d0ef19a3,Captain Cook,Captain Cook
5c98ce6e6197d625d0ef1a25,Peiskos,Peiskos
5c98ce6e6197d625d0ef1c76,Indian Foodies Hub,Indian Foodies Hub
5c98ce6e6197d625d0ef1c9e,Sahib’s Barbeque by Ohri’s,Sahib’s Barbeque by Ohri’s
5c98ce6f6197d625d0ef1cfa,Green Bawarchi Restaurant,Green Bawarchi Restaurant
5c98ce6f6197d625d0ef1d8f,Green Bawarchi Restaurant,Green Bawarchi Restaurant
5c98ce6f6197d625d0ef1e35,Coffee Cup,Coffee Cup
5c98ce6f6197d625d0ef1eaa,Lucky Restaurant,Lucky Restaurant
5c98ce6f6197d625d0ef1f61,Lucky Restaurant,Lucky Restaurant
5c98ce6f6197d625d0ef1ffc,Lucky Restaurant,Lucky Restaurant
5c98ce6f6197d625d0ef2062,Lucky Restaurant,Lucky Restaurant
5c98ce6f6197d625d0ef210c,Lucky Restaurant,Lucky Restaurant
5c98ce706197d625d0ef214f,Mehfil,Mehfil
5c98ce706197d625d0ef21d4,Marsala Food Company,Marsala Food Company
5c98ce706197d625d0ef2231,Paradise,Paradise
5c98ce706197d625d0ef22a8,The Fisherman's Wharf,The Fisherman's Wharf
5c98ce706197d625d0ef2315,Sagar Restaurant,Sagar Restaurant
5c98ce706197d625d0ef235d,SodaBottleOpenerWala,SodaBottleOpenerWala
5c98ce706197d625d0ef241e,84 Anjuna Shack,84 Anjuna Shack
5c98ce706197d625d0ef2453,eat.fit,eat.fit
5c98ce706197d625d0ef24e1,Kodi Kura Chitti Gaare,Kodi Kura Chitti Gaare
5c98ce706197d625d0ef252a,Chili's American Grill & Bar,Chili's American Grill & Bar
5c98ce706197d625d0ef252e,Zaki's Bawarchi,Zaki's Bawarchi
5c98ce706197d625d0ef25a9,Bakasura Restaurant,Bakasura Restaurant
5c98ce716197d625d0ef25ad,Amma Food Court,Amma Food Court
5c98ce716197d625d0ef2629,Spicy Restaurant,Spicy Restaurant
5c98ce716197d625d0ef26e7,Cafe 555,Cafe 555
5c98ce716197d625d0ef279f,Imperial Multi Cuisine Restaurant,Imperial Multi Cuisine Restaurant
5c98ce716197d625d0ef2848,Capital Multi Cuisine Restaurant,Capital Multi Cuisine Restaurant
5c98ce716197d625d0ef289e,Grand Bavarchi,Grand Bavarchi
5c98ce716197d625d0ef28e2,Huber & Holly,Huber & Holly
5c98ce716197d625d0ef28f2,4M Biryani House,4M Biryani House
5c98ce726197d625d0ef2968,Fusion 9,Fusion 9
5c98ce726197d625d0ef29ba,Fusion 9,Fusion 9
5c98ce726197d625d0ef2a46,Madhapur Bawarchi,Madhapur Bawarchi
5c98ce726197d625d0ef2ad6,Al - Arabian Mandi & Restaurant KPS,Al - Arabian Mandi & Restaurant KPS
5c98ce726197d625d0ef2b96,New Green Bawarchi Restaurant,New Green Bawarchi Restaurant
5c98ce726197d625d0ef2c17,New Green Bawarchi Restaurant,New Green Bawarchi Restaurant
5c98ce726197d625d0ef2c2b,Mandi@36,Mandi@36
5c98ce726197d625d0ef2cc9,Raja Rani Ruchulu,Raja Rani Ruchulu
5c98ce726197d625d0ef2cf5,Burger King,Burger King
5c98ce726197d625d0ef2d84,Bawarchi Mughal Restaurant,Bawarchi Mughal Restaurant
5c98ce736197d625d0ef2e6f,Grill 9,Grill 9
5c98ce736197d625d0ef2e89,Shah Ghouse Spl Shawarma,Shah Ghouse Spl Shawarma
5c98ce736197d625d0ef2f6b,Bahar Biryani Cafe,Bahar Biryani Cafe
5c98ce736197d625d0ef3082,Bahar Biryani Cafe,Bahar Biryani Cafe
5c98ce736197d625d0ef309e,Azam Hotel,Azam Hotel
5c98ce736197d625d0ef30b9,Hotel Rumaan,Hotel Rumaan
5c98ce736197d625d0ef3137,Grand Hotel,Grand Hotel
5c98ce736197d625d0ef31aa,Thaalimpu,Thaalimpu
5c98ce736197d625d0ef31f8,Dhaba Estd 1986 Delhi,Dhaba Estd 1986 Delhi
5c98ce736197d625d0ef328b,Hyderabadi Daawat,Hyderabadi Daawat
5c98ce746197d625d0ef32e0,Universal Kebabs & Biryani,Universal Kebabs & Biryani
5c98ce746197d625d0ef33c7,Akshara Restaurant,Akshara Restaurant
5c98ce746197d625d0ef3459,Van Lavino,Van Lavino
5c98ce746197d625d0ef3523,Krupa Mess & Tiffins,Krupa Mess & Tiffins
5c98ce746197d625d0ef3525,Krupa Mess & Tiffins,Krupa Mess & Tiffins
5c98ce746197d625d0ef35fc,Sri Sampoorna Hotel,Sri Sampoorna Hotel
5c98ce746197d625d0ef364a,Karma - Lounge • Bar,Karma - Lounge • Bar
5c98ce746197d625d0ef378f,Mujtaba Grills,Mujtaba Grills
5c98ce746197d625d0ef385e,My Friend's Circle Restaurant,My Friend's Circle Restaurant
5c98ce756197d625d0ef3950,Telangana Spice Kitchen,Telangana Spice Kitchen
5c98ce756197d625d0ef3b04,Hotel Tulips Grand,Hotel Tulips Grand
5c98ce756197d625d0ef3b72,Swagath Grand,Swagath Grand
5c98ce756197d625d0ef3c2f,Swagath Grand,Swagath Grand
5c98ce756197d625d0ef3ccd,Swagath Grand,Swagath Grand
5c98ce756197d625d0ef3d28,Pride of Hyderabad Restaurant,Pride of Hyderabad Restaurant
5c98ce756197d625d0ef3d4a,Sardarji's Chaats & More,Sardarji's Chaats & More
5c98ce756197d625d0ef3db4,King's Palace,King's Palace
5c98ce756197d625d0ef3dcc,Master Chef Restaurant,Master Chef Restaurant
5c98ce756197d625d0ef3e0b,Cream Stone,Cream Stone
5c98ce766197d625d0ef3e3d,B-Dubs,B-Dubs
5c98ce766197d625d0ef3ebb,Jalpaan,Jalpaan
5c98ce766197d625d0ef3fc7,Heart Cup Coffee,Heart Cup Coffee
5c98ce766197d625d0ef4029,Hyderabad Zyqa Restaurant,Hyderabad Zyqa Restaurant
5c98ce766197d625d0ef4079,Cheeky Tummy Bakery & Food Court,Cheeky Tummy Bakery & Food Court
5c98ce766197d625d0ef4128,Absolute Sizzlers,Absolute Sizzlers
5c98ce766197d625d0ef41d4,Fishland By Swagath Grand,Fishland By Swagath Grand
5c98ce766197d625d0ef42b4,Sohail Waves Restaurant,Sohail Waves Restaurant
5c98ce766197d625d0ef4335,The Biryani Junction,The Biryani Junction
5c98ce766197d625d0ef435e,Bonsai,Bonsai
5c98ce776197d625d0ef43b0,Autumn Leaf Cafe,Autumn Leaf Cafe
5c98ce776197d625d0ef4431,Pot Pourri,Pot Pourri
5c98ce776197d625d0ef44bf,Kritunga Restaurant,Kritunga Restaurant
5c98ce776197d625d0ef452a,Kritunga Restaurant,Kritunga Restaurant
5c98ce776197d625d0ef45c0,Shehzade Restaurant,Shehzade Restaurant
5c98ce776197d625d0ef4681,Jonathan's Kitchen - Holiday Inn Express & Suites,Jonathan's Kitchen - Holiday Inn Express & Suites
5c98ce776197d625d0ef4753,President Dhaba,President Dhaba
5c98ce776197d625d0ef47bd,Golden Crown Hotel,Golden Crown Hotel
5c98ce776197d625d0ef47ce,Natural Ice Cream,Natural Ice Cream
5c98ce776197d625d0ef480a,Olive Bistro,Olive Bistro
5c98ce786197d625d0ef487d,Thinespo,Thinespo
5c98ce786197d625d0ef48f8,SVM Grand,SVM Grand
5c98ce786197d625d0ef49f4,Angaara 5,Angaara 5
5c98ce786197d625d0ef49f6,Pakwaan Grand,Pakwaan Grand
5c98ce786197d625d0ef4ab7,Angaara Kababs on Charcoal,Angaara Kababs on Charcoal
5c98ce786197d625d0ef4ae9,KFC,KFC
5c98ce786197d625d0ef4bbe,Sree Dwaraka Grand,Sree Dwaraka Grand
5c98ce786197d625d0ef4bdb,Aritaaku Bhojanam,Aritaaku Bhojanam
